Info 0    [23:31:9.416] Starting TS Server
Info 1    [23:31:9.417] Version: 3.9.3
Info 2    [23:31:9.417] Arguments: /usr/bin/node /usr/bin/tsserver --logFile /home/fdiamond/Training/crwn-clothing/src/.log/tsserver.log --logVerbosity info --cancellationPipeName /tmp/709ea8100e5a8747729602379f98d876/tscancellation*
Info 3    [23:31:9.417] Platform: linux NodeVersion: 12 CaseSensitive: true
Info 4    [23:31:11.806] Search path: /home/fdiamond/Training/crwn-clothing/src/redux/cart
Info 5    [23:31:11.808] For info: /home/fdiamond/Training/crwn-clothing/src/redux/cart/cart.selector.js :: No config files found.
Info 6    [23:31:11.813] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 7    [23:31:14.397] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true Elapsed: 2584ms
Info 8    [23:31:14.397] Project '/dev/null/inferredProject1*' (Inferred)
Info 9    [23:31:14.397] 	Files (176)

Info 10   [23:31:14.397] -----------------------------------------------
Info 11   [23:31:14.399] Search path: /home/fdiamond/Training/crwn-clothing/src/redux/cart
Info 12   [23:31:14.400] For info: /home/fdiamond/Training/crwn-clothing/src/redux/cart/cart.utils.js :: No config files found.
Info 13   [23:31:14.400] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 14   [23:31:14.516] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 1 structureChanged: true Elapsed: 116ms
Info 15   [23:31:14.516] Project '/dev/null/inferredProject2*' (Inferred)
Info 16   [23:31:14.516] 	Files (175)

Info 17   [23:31:14.516] -----------------------------------------------
Info 18   [23:31:14.517] Search path: /home/fdiamond/Training/crwn-clothing/src/components/checkout-component
Info 19   [23:31:14.517] For info: /home/fdiamond/Training/crwn-clothing/src/components/checkout-component/checkout.component.jsx :: No config files found.
Info 20   [23:31:14.518] Starting updateGraphWorker: Project: /dev/null/inferredProject3*
Info 21   [23:31:14.854] Finishing updateGraphWorker: Project: /dev/null/inferredProject3* Version: 1 structureChanged: true Elapsed: 336ms
Info 22   [23:31:14.855] Project '/dev/null/inferredProject3*' (Inferred)
Info 23   [23:31:14.855] 	Files (185)

Info 24   [23:31:14.855] -----------------------------------------------
Info 25   [23:31:14.855] Search path: /home/fdiamond/Training/crwn-clothing/src/pages/checkout
Info 26   [23:31:14.856] For info: /home/fdiamond/Training/crwn-clothing/src/pages/checkout/checkout.page.jsx :: No config files found.
Info 27   [23:31:14.856] Starting updateGraphWorker: Project: /dev/null/inferredProject4*
Info 28   [23:31:14.962] Finishing updateGraphWorker: Project: /dev/null/inferredProject4* Version: 1 structureChanged: true Elapsed: 106ms
Info 29   [23:31:14.962] Project '/dev/null/inferredProject4*' (Inferred)
Info 30   [23:31:14.962] 	Files (188)

Info 31   [23:31:14.962] -----------------------------------------------
Info 32   [23:31:14.964] `remove Project::
Info 33   [23:31:14.964] Project '/dev/null/inferredProject1*' (Inferred)
Info 34   [23:31:14.964] 	Files (176)

Info 35   [23:31:14.964] -----------------------------------------------
Info 36   [23:31:14.965] `remove Project::
Info 37   [23:31:14.965] Project '/dev/null/inferredProject3*' (Inferred)
Info 38   [23:31:14.965] 	Files (185)

Info 39   [23:31:14.965] -----------------------------------------------
Info 40   [23:31:14.966] Search path: /home/fdiamond/Training/crwn-clothing/src/redux/cart
Info 41   [23:31:14.966] For info: /home/fdiamond/Training/crwn-clothing/src/redux/cart/cart.reducer.js :: No config files found.
Info 42   [23:31:14.966] Starting updateGraphWorker: Project: /dev/null/inferredProject5*
Info 43   [23:31:15.54] Finishing updateGraphWorker: Project: /dev/null/inferredProject5* Version: 1 structureChanged: true Elapsed: 88ms
Info 44   [23:31:15.54] Project '/dev/null/inferredProject5*' (Inferred)
Info 45   [23:31:15.54] 	Files (177)

Info 46   [23:31:15.54] -----------------------------------------------
Info 47   [23:31:15.55] `remove Project::
Info 48   [23:31:15.55] Project '/dev/null/inferredProject2*' (Inferred)
Info 49   [23:31:15.55] 	Files (175)

Info 50   [23:31:15.55] -----------------------------------------------
Info 51   [23:31:15.56] Search path: /home/fdiamond/Training/crwn-clothing/src
Info 52   [23:31:15.56] For info: /home/fdiamond/Training/crwn-clothing/src/App.js :: No config files found.
Info 53   [23:31:15.56] Starting updateGraphWorker: Project: /dev/null/inferredProject6*
Info 54   [23:31:15.324] Finishing updateGraphWorker: Project: /dev/null/inferredProject6* Version: 1 structureChanged: true Elapsed: 268ms
Info 55   [23:31:15.324] Project '/dev/null/inferredProject6*' (Inferred)
Info 56   [23:31:15.324] 	Files (220)

Info 57   [23:31:15.324] -----------------------------------------------
Info 58   [23:31:15.325] `remove Project::
Info 59   [23:31:15.325] Project '/dev/null/inferredProject4*' (Inferred)
Info 60   [23:31:15.325] 	Files (188)

Info 61   [23:31:15.325] -----------------------------------------------
Info 62   [23:31:15.326] Search path: /home/fdiamond/Training/crwn-clothing/src/redux/cart
Info 63   [23:31:15.326] For info: /home/fdiamond/Training/crwn-clothing/src/redux/cart/cart.types.js :: No config files found.
Info 64   [23:31:15.327] Search path: /home/fdiamond/Training/crwn-clothing/src/redux/cart
Info 65   [23:31:15.327] For info: /home/fdiamond/Training/crwn-clothing/src/redux/cart/cart.actions.js :: No config files found.
Info 66   [23:31:15.327] Search path: /home/fdiamond/Training/crwn-clothing/src/components/cart-dropdown
Info 67   [23:31:15.327] For info: /home/fdiamond/Training/crwn-clothing/src/components/cart-dropdown/cart-dropdown.component.jsx :: No config files found.
Info 68   [23:31:15.732] Starting updateGraphWorker: Project: /dev/null/inferredProject5*
Info 69   [23:31:15.766] Finishing updateGraphWorker: Project: /dev/null/inferredProject5* Version: 2 structureChanged: false Elapsed: 33ms
Info 70   [23:31:15.766] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 71   [23:31:15.812] Starting updateGraphWorker: Project: /dev/null/inferredProject6*
Info 72   [23:31:15.868] Finishing updateGraphWorker: Project: /dev/null/inferredProject6* Version: 2 structureChanged: true Elapsed: 56ms
Info 73   [23:31:15.868] Different program with same set of files:: oldProgram.structureIsReused:: 0
Info 74   [23:31:18.266] Before ensureProjectForOpenFiles:
Info 75   [23:31:18.267] After ensureProjectForOpenFiles:
Info 76   [23:31:18.267] got projects updated in background, updating diagnostics for /home/fdiamond/Training/crwn-clothing/src/redux/cart/cart.selector.js,/home/fdiamond/Training/crwn-clothing/src/redux/cart/cart.utils.js,/home/fdiamond/Training/crwn-clothing/src/components/checkout-component/checkout.component.jsx,/home/fdiamond/Training/crwn-clothing/src/pages/checkout/checkout.page.jsx,/home/fdiamond/Training/crwn-clothing/src/redux/cart/cart.reducer.js,/home/fdiamond/Training/crwn-clothing/src/App.js,/home/fdiamond/Training/crwn-clothing/src/redux/cart/cart.types.js,/home/fdiamond/Training/crwn-clothing/src/redux/cart/cart.actions.js,/home/fdiamond/Training/crwn-clothing/src/components/cart-dropdown/cart-dropdown.component.jsx
Info 77   [23:41:57.230] Starting updateGraphWorker: Project: /dev/null/inferredProject6*
Info 78   [23:41:57.307] Finishing updateGraphWorker: Project: /dev/null/inferredProject6* Version: 3 structureChanged: false Elapsed: 72ms
Info 79   [23:41:57.308] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 80   [23:42:47.38] Starting updateGraphWorker: Project: /dev/null/inferredProject6*
